Title,Domain
[WEBINAR] Intro to Python: Part 1,python
[WEBINAR] Intro to Python: Part 2,python
Python: Biopython,python
Python: Intro to Data Visualization with Matplotlib – 2 Day workshop,python
Python: Scikit-learn –3 Day Workshop,python
Python: Biopython,python
Python: Text Analysis with NLTK,python
Learn Python Online Free - Python Fundamentals Live,python
Intro To Python Webinar,python
Next Steps in Python Lunch Lessons #9,python
Intro to Python,python
Python Certification Training | Instructor LED & Pure Hands-on Training|,python
"Python 2 Weekly on Thursdays 4:30pm ET (July 30–Sep.3,2020)(English)",python
Python Certification Training | Online - Paid Training Weekend Batch,python
Plotting and Programming in Python,python
Python Certification Training | Online - Paid Training Weekday Batch,python
Plotting and Programming in Python,python
Microsoft Power BI - Dashboard in a Day (Virtual) - July 28,data science
Microsoft Power BI - Dashboard in a Day (Virtual) - August 18,data science
Microsoft Power BI - Dashboard in a Day (Virtual) - August 18,data science
Netherlands Power BI Days 2020-10-08,data science
Inteligencia Comercial con Power BI,data science
Optimización de decisiones y desplegando ciencia de datos en Producción,networking
z/OS Introduction and Workshop for IT Professionals,networking
I COMEBM -  Abertura - Mesa Redonda - Desafios  pós Carolina Bori,networking
Curso Ciencia de Datos 360 con Python {Presentación},"networking ,python"
Mocha Mixer  - A Virtual Networking event for Blacks in Tech,networking
Meet The Accelerators: Speaker Series and Networking Event,networking
SoCalBio Networking Forum: Catching the Wave: Biotech in Orange County,networking
Meet The Accelerators: Speaker Series and Networking Event,networking
Managing Software Teams in Seattle (Topic: Engineering Leadership),higher education
Managing Software Teams in Seattle (Topic: Engineering Leadership),higher education
Webinar: Microsoft TEAMS for Collaboration,higher education
MS Azure Online Training | Instructor LED & Pure Hands-on Training| Weekday,higher education
Microsoft Teams Introduction Webinar - QuickStart and Tips,higher education
Customer Webinar: 2.7.2 CTMS Enhancements,higher education
MS Azure Online Training | Instructor LED & Pure Hands-on Training|Weekend,higher education
"Tech Talks | Esmeralda Herrera,Director of Programs at Communitas America",higher education
An Introduction to NGS Platforms and Bioinformatics Analysis,higher education
WEBINA: Mobile Content Creation for Business,"mobile applications,management"
"TechGirlz & TALK Session:  Designing a Mobile App,Part 2",mobile applications
MLOps: Ray in the Real World,machine learning
MLUX Virtual Data & Policy Panel,machine learning
Global 2020 Summer AI/ML Fest,machine learning
"[Webinar]Kubeflow,TensorFlow,TFX,PyTorch,GPU,Spark ML,AmazonSageMaker",machine learning
Online: Pitfalls and Challenges of ML-Powered Applications,"machine learning,mobile applications"
ProductCon Online: The Product Management Conference,management
ProductCon Online: The Product Management Conference,management
ProductCon Online: The Product Management Conference,management
ProductCon Online: The Product Management Conference,management
Thinkful Webinar | Product Management Vs. UX/UI Design,management
Thinkful Webinar | Learn Product Management With Thinkful,management
Thinkful Webinar | What is Product Management?,management
Thinkful Webinar | What is Product Management?,management
Thinkful Webinar | What is Product Management?,management
Thinkful Webinar | Learn Product Management With Thinkful,management
Thinkful Webinar | Learn Product Management With Thinkful,management
Thinkful Webinar | Product Management Vs. UX/UI Design,management
Thinkful Webinar | Learn Product Management With Thinkful,management
Thinkful Webinar | Product Management Vs. UX/UI Design,management
Thinkful Webinar | Learn Product Management With Thinkful,management
Research Data Management @ RMIT,management
Strategic Risk Management,management
Virtual Open House: Clinical Trial Management Bootcamp (Fall),management
Microsoft Dynamics 365 Supply Chain Warehouse Management Software Webinar,management
Practical Machine Learning for Healthcare,machine learning
Life Cycle of Machine Learning Projects,machine learning
Human-centred Machine Learning for Healthcare,machine learning
Spark and Cassandra for Machine Learning: Testing/Validation,machine learning
Machine Learning using Python,"machine learning,python"
Machine Learning para Educadores Livestream,"machine learning,higher education"
Interpretable Machine Learning for Enterprise Applications,"machine learning,mobile applications"
Getting Started with Node.js,javascript
Web Development HTML/CSS/JS Trial,"javascript,development process,web development"
Web Development HTML/CSS/JS Trial,"javascript,development process,web development"
"LJC Virtual Meetup: Functional Programming in Java,Groovy,and Kotlin",java
[WEBINAR] JavaScript 101,"java,javascript"
[WEBINAR] JavaScript 401,"java,javascript"
[WEBINAR] JavaScript 301,"java,javascript"
[WEBINAR] JavaScript 201,"java,javascript"
[WEBINAR] JavaScript 401,"java,javascript"
[WEBINAR] JavaScript 301,"java,javascript"
[WEBINAR] Learn To Code: Recursion in JavaScript,"java,javascript"
[WEBINAR] Intro to Functional JavaScript,"java,javascript"
Thinkful Webinar || Free Crash Course: JavaScript Fundamentals,"java,javascript"
Thinkful Webinar | Intro to JavaScript: Build a Virtual Pet,"java,javascript"
Webinar: Javascript 101,"java,javascript"
